timestamp,​0xA88533958a114C3d5D71AAf6F492c4911933C0AC,​0x97deC872013f6B5fB443861090ad931542878126,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1604655075000,,,1.01,5.09,
1604721624000,,0.29,,2.34,
1604788406000,,,,1.61,
1604855096000,,0.72,,1.59,
1604921012000,,,,0.08,
1605187095000,,,,1.20,
1605252569000,,,,0.81,
1605319158000,,,,0.73,
1605385703000,,,,0.34,
1605451285000,,,,0.54,
1605517681000,0.06,,,0.83,
1605583771000,,,,0.52,
1605650122000,,0.42,,0.95,
1605717149000,,,,4.59,
1605783309000,,,,2.39,
1605849265000,,,,0.45,
1605915938000,,,,0.50,
1605982271000,,,,1.19,
1606048118000,,,,1.01,
1606114478000,,,,0.50,
1606181350000,,,,0.87,
1606247275000,,,,1.10,
1606314098000,,,,0.61,
1606380252000,,,,2.06,
1606446290000,,,,4.40,
1606513752000,,,,0.45,
