timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x40687F1e9ea1f9C0A4CDbdb60d49C3c03CC75608,​0x5BB456cd09D85156E182d2c7797eb49a43840187,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x97deC872013f6B5fB443861090ad931542878126,​0x2C99d50Eb4DAA1D26b5bA0b1dAaB58cBFc0AC3E6,​0xA6e3475e2d4A9937b61be131407598ed188b54f3,Other
1600456406000,19.60,,,0.37,13.55,,,
1600522839000,11.13,,,,0.07,,1.64,
1600589122000,11.37,,2.68,,,,,
1600654235000,0.35,0.30,,1.85,,,,
1600719844000,5.57,,,,,,,
1600786926000,11.37,,,,,,,
1600852525000,2.98,,,,,,,
1600920149000,4.64,,,,,,,
1600986137000,1.67,,,,,,,
1601053079000,1.49,,,,,,,
1601120014000,0.60,,,,,,,
1601187908000,1.79,,,,,,,
1601255204000,0.02,,,,,,,
1601459154000,0.87,,,,,,,
1601525869000,0.50,,,,,,,
1601592730000,0.32,,,,,,,
1601660827000,1.28,,,,,,,
1601728631000,0.19,,,,,,,
1601796104000,2.11,,,,1.40,,,0.03
1601863935000,2.58,,,,,,,
1601931072000,0.10,,,,,0.37,,
1601998104000,1.92,,,,,,,
1602065856000,3.81,,,,,,,
1602133843000,6.56,,,,,,,
1602202095000,1.82,,,,,,,
1602270387000,1.32,,,,,,,
1602337276000,0.15,,,,,,,
1602403481000,1.19,,,,,,,
1602469107000,1.38,,,,,,,
1602535471000,0.05,,,,0.06,,,
1602601229000,1.28,,,,,,,
1602667579000,0.38,,,,,,,
1602732764000,1.62,,,,,,,
1602799114000,2.26,,,,,,,
1602865569000,0.26,,,,,,,0.03
1602931980000,0.03,,,,,,,
