timestamp,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x7B035331967075a168471DfBD23eD977f048f61E,​0xD277a99c0d08DED3bDB253024bfF81E41496465c,​0x87fBFeAbB807B72c05Ff8b3B13CCEa719271f1C2,​0xFAfCb9F78bED5533692364B4713eD339Aa1e52ca,Other
1586434964000,0.09,0.01,,0.21,,0.00
1586501245000,0.04,,0.60,0.23,,
1586635021000,,,,0.37,,
1586701369000,,,,0.01,,
1586833705000,,,,0.38,,
1587033174000,,,,,0.04,
