timestamp,​0x70c26C293e52BaF04f4482b147c83Df339482816,​0x193BD90B68eB1df24d9C52D78960717B5e2ec9Bb,​0x9ca3132880A2D6d97c2a605b5edcEFA46f06D412,​0x649F2aa41ceE456B033BCDe5588F9F1cF3D63184,​0xEA8146FB9E02E535a66dB2E354BD2fF645666103,​0xC0158745Da6f94AB9De9E2803FC10dF6Aaf225ac,​0x5baEB2a19DD9FDAc4E952470F468ab98630a1a53,Other
1556750704000,,,,,0.01,,,0.05
1556818035000,4.18,,,,0.25,,,
1556885912000,,1.00,2.33,2.00,,,,
1556953014000,,,2.63,,,,8.97,
1557019302000,,5.00,5.06,,,,,
1557155617000,1.22,1.00,,,,,,
1557291012000,0.26,,,,,,,
1557426851000,0.38,,,,,,,
1557494292000,0.06,,,,,,,
1557964138000,0.32,,,,,,,
1558370897000,4.92,,,,,,,
1558573856000,9.33,3.00,,,,,,
1558641898000,6.77,,,,,,,
1558709678000,1.00,,,,,,,
1558977860000,0.99,,,,,,,
1559179166000,,1.55,,,,,,
1559247339000,,2.95,,,,,,
1559788436000,,2.09,,,,,,
1560802452000,1.70,,,,,,,
1560870679000,0.20,,,,,,,
1561409629000,0.60,,,,,,,
1561476955000,0.10,,,,,,,
1561679479000,0.10,,,,,,,
1562015969000,0.07,,,,,,,
1562687655000,0.77,,,,,,,
1563226501000,0.16,,,,,,,
1563295219000,,,,,,,,0.02
1563430869000,,,,,,,,0.02
1568400865000,,,,,,0.50,,
