timestamp,​0x2B776b7Fa006B69464D29466D5d0bBf1690f8e36,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x03208d47f180958f5607f69f3F84fBF1effa5C9F,​0xf610930881450bC08920216329F6b4008AA13AB9,​0x536956Fab86774fb55CfaAcF496BC25E4d2B435C,​0xE4c08C08B2483862c04Af58fAdCbc417aD225e71,​0x395d48020EF5e29168706e16258db6c6c4D7d317,​0xFc6D4d8b0EA1bf18a12761e7FbCfBeb9CAF69f4c,Other
1574319702000,,,,,0.17,,,,
1574390894000,,,,3.41,,,,,0.00
1574753753000,,,,,,,,2.00,
1574829912000,,,,,,,0.30,,
1575519604000,,,,,,,,,0.07
1576132843000,,,,,,1.08,,,
1576288118000,0.42,,,,,,,,
1576372313000,0.26,,,,,,,,
1576541361000,1.69,,,,,,,,
1576627001000,1.90,,,,,,,,
1576713534000,3.64,,,,,,,,
1576799699000,0.53,,,,,,0.10,,
1577315631000,,,,,,,0.66,,
1577402327000,,,,,,,1.65,,
1577659927000,,,,,,,1.20,,
1577832303000,0.24,,,,,,,,
1577997589000,0.24,,,,,,,,
1578063677000,1.70,,,,,,,,
1578129566000,,,,,,,0.48,,
1578195701000,,,,,,,0.15,,
1578261907000,,,,,,,0.75,,
1578327837000,0.48,,,,,,,,
1578393679000,0.50,,,,,,,,
1578459841000,0.66,,,,,,,,
1578526345000,0.81,,,,,,0.20,,
1578592894000,0.34,,,,,,,,
1578724741000,0.93,,,,,,,,
1578790822000,0.50,,,,,,,,
1578989540000,0.47,,,,,,0.20,,
1579055596000,2.90,,,,,,,,
1579122050000,1.13,,,,,,,,
1579188604000,0.57,,,,,,,,
1579254375000,0.91,,,,,,,,
1579320115000,,,,,,,0.18,,0.00
1579386588000,0.86,,,,,,0.10,,
1579453251000,1.08,,,,,,,,
1579518909000,,,0.05,,,,,,
1579584998000,,,0.20,,,,,,
1579650516000,,,,,,,0.11,,
1579783170000,,,0.40,,,,0.39,,
1579848954000,,,0.18,,,,0.50,,
1579915579000,,,0.75,,,,0.69,,
1580114658000,,,0.49,,,,,,
1580180893000,,,0.51,,,,,,
1580247630000,,,0.48,,,,,,
1580313366000,,,0.52,,,,,,
1580380051000,,,0.18,,,,,,
1580446477000,,,,,,,1.01,,
1580512997000,,,0.20,,,,0.62,,
1580579921000,,,,,,,0.36,,
1580645575000,,,,,,,0.54,,
1580910496000,,,0.52,,,,,,
1580977343000,,,1.01,,,,,,
1581043789000,,,1.07,,,,,,
1581110121000,,,0.50,,,,,,
1581243665000,,,0.50,,,,0.23,,
1581310184000,,,0.46,,,,,,
1581441429000,,,0.49,,,,,,
1581508790000,,,1.50,,,,0.35,,
1581574720000,,,1.66,,,,,,0.00
1581641265000,,,1.28,,,,,,
1581707956000,,,0.53,,,,,,
1581774043000,,,0.48,,,,,,
1581841298000,,,0.98,,,,,,
1581907086000,,,1.68,,,,,,
1581973926000,,,1.23,,,,,,
1582040665000,,,0.55,,,,,,
1582106715000,,,1.02,,,,,,
1582173039000,,,1.30,,,,,,
1582240159000,,,0.49,,,,,,
1582439543000,,,0.71,,,,,,
1582505376000,,,,,,,0.37,,
1582571821000,,,,,,,1.00,,
1582705647000,,,0.58,,,,,,
1582771019000,,0.77,0.98,,,,0.50,,
1582837876000,,,0.74,,,,0.51,,
1582904573000,,,0.97,,,,,,
1582970808000,,,,,,,0.60,,
1583103301000,,,,,,,0.25,,
1583235956000,,,0.72,,,,,,
1583302077000,,,0.59,,,,,,
1583435384000,,,,,,,0.72,,
1583567810000,,,0.73,,,,,,
1583699841000,,,2.32,,,,,,
1583767163000,,,0.99,,,,,,
1583833348000,,,1.11,,,,0.70,,
1583966404000,,,0.95,,,,,,
1584033400000,,,6.01,,,,,,
1584100621000,,,9.29,,,,,,
1584168330000,,,3.02,,,,,,
1584234522000,,,2.36,,,,0.50,,
1584300469000,,,1.65,,,,,,
1584367227000,,,8.19,,,,,,
1584434720000,,,2.89,,,,,,
1584500082000,,,,,,,0.40,,
1584566455000,,,,,,,0.80,,
1584632903000,,,3.18,,,,,,
1584699859000,,,3.02,,,,,,
1584766483000,,,5.85,,,,,,
1584833664000,,,1.65,,,,,,
1584902413000,,,0.28,,,,1.00,,
1584970249000,,,1.65,,,,0.50,,
1585036977000,,,0.95,,,,,,
1585105600000,,,0.70,,,,0.70,,
1585173391000,,,1.80,,,,,,
