timestamp,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x5096f604E04D64fc78627460151F00d46A9D8C75,​0x1699D5b351443308616123cF97c81dD076395591,​0xf8c1e1e208Ba806aa9731fFF6e285EBFa4112a7C,​0x43BC7667BF508cE3905DC0F492f106eaE2800536,​0x6574f3EF43E794aBCe048339Cb4C98507C23CF6a,​0x89D3Afde089399534aFDB7aD2D05138315Ef45FF,​0x51103C2EdffdA30b9A97232AF2f8ceD21A236B73,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x5c9B52d9748e8C3231fA7D59a068069B04b03d57,​0x6f724817dC73BF14b7077F8C3a73d5624313a6DB,​0x81ab10F0d6b0EE9894A976397E219f55B8Fa4971,Other
1588906152000,,,,,3.60,,0.60,,0.00,,,,,,0.03
1588972800000,0.01,,0.06,0.30,8.65,,,,0.28,,,,,,
1589040204000,,,,,0.05,,,,,,,,,,
1589107927000,,,,,0.05,,,,,,,,,,
1589174391000,,,,,0.30,,,,,,,,,,
1589241093000,,,,0.42,3.45,,,,,,,,,0.22,
1589308656000,,,,,,0.12,,,,,,,,,
1589375621000,0.07,,,,0.20,,,,,,2.74,,,4.15,0.03
1589442351000,0.02,2.32,0.10,,0.71,,,0.69,,0.14,2.38,1.30,0.26,3.70,
