timestamp,​0xc5B3804274ab75ea425130B6Cd38C1E0A905c53A,​0x9611F8dC84F61D6DcADcca9674746091729934dE,​0x7cAFd9EE75A1B3a85caA7A6B62796B4f778Dd913,​0x12f934022C86E85339c5572796C2059Ff8695258,​0x70EAC9Fb929448d0CE080fCA26c6800E8784133f,​0xf1AeB5D0B299974F2b8258A4e10dc8112A750b91,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0xC646a2f7bdaa13f2279dA26D16F7b69334122819,​0xfe62ad2613ED201459348B3e8cF9cC430Be02C23,​0x38FceD6d190f291EBDAE4b262f52cC2695aeFff5,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x9A8828b0613307B5A689022e7Cc2bBc6e4611BDC,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xBfed949505faC872018ee70aD521840E9C05a3Ff,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0xe59b8A0c8D34030061BC8045eFc53ed13648d3de,​0x035B5663Bf1e60A5dA64144C130fe426AE976DcA,​0x9A62E1D86C96657da7EDc9a284157710d8F9eC02,​0xDc643833bC8827AfF5Bb5f3A16A9C18795517dB4,​0x83Ebe2B18dd1196a5b782c12D4273E4621f3cCd9,​0x48143eC3AcA8A255496e8ee7997591D3335Abf5f,​0x7826EA5e012B511Bc5Bb89d70BA92Dcd07332351,​0x79702f972dA429404518ecfA62c7C966557f2231,​0x97deC872013f6B5fB443861090ad931542878126,​0x5b74b82FbBA66DA16334B30F0176cCf8e94Deb2b,​0x931292c42A5F600e80D75B7c7743f0164240882c,​0x6651596bF5eEcae7A466891e30f1cCC91b8F3168,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0x6Ad3FcaBb46E5A24932B28427644a0292a71305A,​0x3877b93D5411bf5F5CB92D7e7650935FD0212D8a,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x5DD25539CD7D1F162480026F0696BCfCE236858E,​0x70f6CBe893d92b61069Fd40Aa9626745de2CfFBD,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,​0xac6951c2854AC413e59585A2f1524586ddcEabCF,​0x8E949B62a177452f5B327B539eAA63802a3ab6A4,​0x132DB8234171Cc9D8A65853cf03D5C0f46C8867e,​0xAd4E8E6B8211b15Cf67AB4fb637f60425A6C2EC8,​0xcdE2556EE31648C402C899108423d942B5d8d080,Other
1578592894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1579386588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.01
1579453251000,13.59,,,,,,,,0.80,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.05
1579518909000,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,1.50,0.03,,,,,,,,,0.01
1579584998000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.06
1579650516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.02
1579717286000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.08
1579783170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1579848954000,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1579915579000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
1579982233000,,,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.17
1580049245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1580180893000,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.07
1580247630000,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580313366000,,,,,,,0.61,,,,,0.30,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1580380051000,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.02
1580446477000,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1580512997000,,,,,,,2.35,,,,,,,,,,,,,,,,0.69,,,,,,,,,0.01,,,,,,,,,0.16
1580579921000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.06
1580645575000,,,,,,,1.15,,,,,,,,,,,,,,0.73,,,,,,,,,,,0.03,,,,,,,,,0.01
1580711822000,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1580844182000,,,,,,,,,,,,,,,,,,,,,,3.43,,,,,,,,,,,,,,,,,,,0.16
