timestamp,​0xaFa2abe7c0642b32F510dDFcDd4dd0FA933087FC,​0x3b2534b8EA1f9a8BF9D9915B91bae673d161F2A5,​0xeB12a626BF202f61469716ccE910Ce481E0Dd835,​0xDEb9Ab92E2e04b9be110758f280d26fB16e6C9E3,​0x3a3D1Fc99679343535D56374A42b3E96669913fe,​0x046B390fa81167Dc741D34B6dfd68714C88C3537,​0x576a655161B5502dCf40602BE1f3519A89b71658,​0xB66F8a0Da457B91D5cA3d9f0d679783a28e70cb7,​0xec89a4E9F698d8e4A70C05606F7fB2F8e91fbD33,​0x9Ab47F3A9C1B9b1cdb825F40D1Fdd40d152ccBEe,​0x332D23a7F2051706e15A9cA6A0539d6405e0ABcc,​0x74C20E49e3cCC0C5A8eAC54E8547B70ecdFfB1b4,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xf599DD992feA3C597d859d17D98c41a54D5a2e4c,​0x40DeeA0Cb0Fe5FE5154ff8fDC79EC68087553D0E,​0x19058B87cc3975b2dd7d01B6e95102AB9e1a2a72,​0x9a592f894032294683bf703E1a8122E5499eA6C6,​0x223716C5aa5fd892c0dAff1f24D4531272E8B12d,​0x1426E0DC259E1A6d0da470661ba54A21195aE3a6,​0x81Dde1BE69F32e25A3727351A4D12569310a2fE7,​0x73084E4338A64d73180D039FaE40A0e92b105F35,​0x2E753DA9Df8EC5D3EC3058486A978Be39E123780,​0xB1F933A61dc4D1B30621E593F2fB4eE83063aB30,​0xEC78c498137e8783C4291BE84F9B39733B21c59c,​0xbEB3502E6Ea7603C57550D23AD93E786261a6272,​0x49c8209caF76E2758FE1097B175E3EAb357b74Be,​0xa8840A5C91Ed4a62894509b7219D681d4238575d,​0x93AeF073b3139c26312de0BB1b302609eb3BF5ce,​0xBB79B2499C9a9F5D76F2e26d3B3fd3d83d1b7F66,​0x2071EE7e947Ea0D6bf1eab41605F8271808D9325,​0xDef9e718616652b2C48D2229e3A9d39b5De12eAC,​0xE3c98cbD63D6142e40848D432Af2971975a54F6F,Other
1578526345000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583435384000,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
1583833348000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
1583900197000,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583966404000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1584833664000,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,
1585372283000,,,,,,,,,,,,,,,,0.02,,,,,,,0.00,,,,,,,,,,
1585571105000,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,0.11,,,,,
1585637238000,,,,,,,,,,,,,0.03,,,,,,,,,0.01,,,,0.00,,,,,,,
1585704243000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,
1585836257000,,,,,,,,,0.00,,,,,,,,,0.02,,,,,,,,,,,,,,,
1585903293000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
1586036191000,,,,,0.06,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,
1586102872000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,
1586169028000,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586501245000,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
1586900049000,0.00,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,
1586966921000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1587167698000,,,,,,,,,,,0.00,,,,,,,,,0.03,,,,,,,,,,,,,0.00
1587234387000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
1587300847000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,
1587568237000,,0.02,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,
1587768625000,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587902337000,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
1587969951000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,
1588237076000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,
1588305064000,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588506516000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,
1588705743000,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588972800000,,,,0.00,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,
1589040204000,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,
1590181994000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
1590316431000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
1590987649000,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
1591122115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
1591658478000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,
1592126059000,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592995513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
