timestamp,​0x30fB0D650d30b121eD733f8c23cA98D4fEa5Bf4f,​0x12E1c30563f8B0C1dbCeBea65076A5E31bCBfD13,​0x3D9Fe53bE9270270A8b8Eb3BD02b7db124f14A39,​0xb99A23b1a4585fc56d0EC3B76528C27cAd427473,​0x468727D0770a301d2721968765ac0b003Ce332C5,​0x97deC872013f6B5fB443861090ad931542878126,​0x3F70E1C7369347b74E988463eA1Ae2f831b47411,​0x9A94Ac82B17E67F7dff81912de68EB74ca20E6C3,​0x4D0aBBde0CB30D828A90cFff33D40b966473825f,​0x5dF3Ba5d4735715A07dDC11CE13f3ebB1A4aa296,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x395d48020EF5e29168706e16258db6c6c4D7d317,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xAE2dAf6C90B7fa6e76D23a0438D634FbAfd8760A,​0x55B94CCEDd5024Ec1546B1943fA7DFA9E39195BB,​0x5cDc4F8B2E8F9Dc4Ea31d0915fa454A552cBEcD1,​0x5f508b1826Df6CEB07F1DED2D21B85dAEF4A288f,​0xB5CEa457CbBC995D830BB7F4DB48C87A63BCBFeE,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x263FC4d9Eb6da1ED296ea6d189b41e546a188D8A,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0xA238819a0ccA2dEaB598724F172810e9eBD052c7,​0xFd15b64666B36B789e6770f546e0ad045e1214eA,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0x84c57B83A3183168bcD68576B50842E58de671c7,​0x00d5Fe51e8Dd8c9CA62c59046A902153ab43f9B5,​0xfDE695F57F1800F6a6012038ba6263f436b3Cf68,​0xccF5f5C462386c9055c5bf5d008681cf808799f1,Other
1580446477000,,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,,,,,
1580645575000,,,,,,,,,6.00,,,0.03,,,,,,,,6.01,,,,,,,,,0.01
1580711822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1580778615000,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,
1580844182000,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,
1580910496000,,,0.93,,,,,,,,,0.10,,,,,,,0.05,,,,,,,,,,
1581043789000,,,,,,,,,,,,,,,,,,,0.03,0.00,,,,,,,,,0.00
1581177428000,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
1581243665000,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.05,,,,0.01
1581375300000,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,
1581841298000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,0.00
1581907086000,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,0.00
1582040665000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582173039000,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
1582240159000,,,0.32,,,,,0.11,,,,,,,,,,,,,,,,,,0.16,,,
1582306851000,,,0.01,,,,,,,,,,,,,,,,,,,0.08,,,,,,,
1582372667000,,,0.01,,,,,,,,,,,,,,,,,0.00,,,,,,,,,
1582439543000,,,,,,,,,,,,,0.19,,,,,,,,,0.28,,,,,,,0.01
1582505376000,,,,,,,,,,,,,,,,,,,,,,,0.35,0.17,,,,,
1582571821000,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,
1582904573000,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
1582970808000,,,,,,,,,,0.17,,,,,,,,,,0.04,,,0.00,,,,0.23,,
1583036689000,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,
1583103301000,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,
1583235956000,,,,,,0.18,,,,0.11,,,,,,,,,0.05,0.04,,,,,,,,0.43,0.01
1583302077000,,,,,,,,,,,0.04,,0.07,,0.03,,,,,,,,,,,,,,
1583368317000,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,0.00
1583435384000,,0.02,,,0.03,,,,,,,,,,,,,,,,,,,0.00,,,,,
1583502285000,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,0.01
1583567810000,,,,,,,,,,0.76,0.09,,0.04,0.00,,,,0.82,,,,,,,,,,,
1583633541000,,0.05,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
1583699841000,0.47,,,,,,0.12,,,,,,0.39,,,0.03,,,,0.14,,,,,,,,,
1583767163000,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,
