provider,eth
​0x4c7512a4E1a3D839713C7e8f1a146c9c475368b9,9.30
​0x44f7CafbB6488B590e4b063Ff403e52E7Bd2Aa3F,6.35
​0xAE1645fe1Ad76C3cF0a1c838aE582948f3A8A664,5.91
​0xA2Dbc760eF9567fC93C9F96dDc602e1A0fDfA686,5.42
​0x2d265F0C1ba55Ef86c2cAAD882452086dC79435a,4.78
​0xB7f05bECAdaa8947424E86B3955FC37e7BFDf306,4.29
​0xe16661bAD5cdE065C3253233e4ED7d7BC3749cd9,2.37
​0x09a66115645c2C39902c50BAD6C18a5141906a69,1.74
​0xcea45825E08C3A566Fcca9f8245856C53E1DEDDf,1.68
​0xDEb0Dc116FA5B94C9ccc718326Bea6C0963dEC46,1.33
​0x46943Ff06e737A422cB60caA449BAee428cAa71c,0.70
​0x122c9A212FD793ef2fb2AD3C32603297e2435310,0.68
Other,0.71
