provider,eth
​0x387ca78a5edf943d267b9248CCe1B0FDB67d0029,48.33
​0x84443F61efc60D10DA9F9a2398980CD5748394BB,12.18
​0x49a2DcC237a65Cc1F412ed47E0594602f6141936,11.96
​0x00B591BC2b682a0B30dd72Bac9406BfA13e5d3cd,11.25
​0x8b941bA67C0cFF1489A34e83230595C0cd2AD3bC,8.61
​0x3B4b3eF906D5E73EEabFbaA6758e833A2eF23263,5.50
​0xb69C50bEcBb35539E6811021b38daf8Fd72B1C7f,5.02
​0x741B4E7eB09E7fACCfA68801Db02Ed4e8F17C202,4.93
​0x2226f49EFe9F1b59B0243b54dB33bb3F0B8B0679,2.85
​0xDe145F934f7E0F30f412a33a69CD089f57CeC3b8,2.64
​0x184DCb4E576df6e2dcF20b1111B2DAB701fB377d,1.64
​0x80987Af842481dFC568AE9a44d3FBa0372Aff942,1.45
Other,4.62
