provider,eth
​0xFeAACDBBc318EbBF9BB5835D4173C1a7fC24B3b9,9.66
​0xa572215Ba9d59Acb1dC6D3bb372125DE51868abd,3.73
​0x4437B4BEBFf2227A9878f3E5BD3d0C4C7e8Ea6Ff,0.66
​0xd1A09C40e2E1eDF03435090A7e431EceE11d0198,0.66
​0x17BF968B934C0a76e0a517A49C421255142CC36d,0.66
​0x592bb894F33dCF4E12fCEe0972A12377a0fbd4Dd,0.66
​0xc89473E709B222F163247F8451b8a6e74B05729C,0.66
​0x08db46657791e64976e22245E5b5a609E53fA7dF,0.66
​0x2191500b0D2d95AF11c7A9586878782BDa69e541,0.66
​0xaB808f15dfeCB11b1A043bA190701bE1bd5DE0E0,0.66
​0xcC1A154c1Fac8a2e9342d43777f290E58f13aFF0,0.66
​0x6806B0269b9A80923629a0750c34cfF573bae08b,0.66
​0x6ac0a44f95DFAf5329554b818beBb698F97aB5bb,0.66
​0xCC7818E08B6d6E3694740a5Fe327fAEe79e78dA1,0.66
​0x3e1B9c343423f9192B49cF6d7A485DBeE20BA5d6,0.44
Other,0.14
