provider,eth
​0x741AA7CFB2c7bF2A1E7D4dA2e3Df6a56cA4131F3,1676.31
​0x76a75Dcb9930E5472107C781460321332aBA30D3,422.85
​0x49a2DcC237a65Cc1F412ed47E0594602f6141936,240.72
​0x33b495480cDFab66790300d853F56452f9F96EED,173.86
​0x30887fc55CbFAd3487Cb55bfE1779f6d2ba1c118,99.43
​0x1B72Bac3772050FDCaF468CcE7e20deb3cB02d89,94.88
​0x9A560C3ceBB3a8c0f28Efcc43f4D12e942F4eeD7,86.24
​0x24eeb25be492d161bB2e78773463a1C2645d3E1D,74.59
​0x16669C161e27521D96cBc9d5af37f24Fc70aE8ca,54.02
​0xba22423b526d0a112FD7fA109Ac4c9D131a682ac,48.80
​0x65A0bf08ff1bf021eD8d929402371F6cfb83ab53,44.14
Other,181.29
