provider,eth
​0xAe0629b62676c5886c9F18aE5d48FefB5a30BBaE,17.66
​0x6dd6adb9B7Cd2760e30F0888c7a2B40Cff3F3d7a,4.01
​0x793963E523202121746aDDB2bb5FBB82E96FBDbE,3.00
Other,0.00
