provider,eth
​0x387ca78a5edf943d267b9248CCe1B0FDB67d0029,26.26
​0xB9b8EF61b7851276B0239757A039d54a23804CBb,26.07
​0x9FEBdB70d953275A80231294A0e9f488AcF043eB,11.25
​0xd30fFC6163D2C0B0887AaA1D6a821B3E50BF4Def,10.62
​0x00B591BC2b682a0B30dd72Bac9406BfA13e5d3cd,6.56
​0x35bFF65b50ca8426f702323d6D3db7717198953e,5.25
​0x707707f87117C78e25806a575D23A1AA81C20BB0,2.64
​0x2C348Fa2C2F282B435094C9277074375A9fae6d1,2.63
​0xf0bBbEe03f89d344B9C385a822016Ec22C84f1e6,2.10
​0xA238819a0ccA2dEaB598724F172810e9eBD052c7,1.37
​0x6c4A028CAa8b1978bE5c3fAb71f16a8e51B19cAA,1.34
Other,2.04
