provider,eth
​0x4090B585C6Ba6f8d8CBd76Aa805f28069c732ca3,20.74
​0xc05ed3743D87Bee34b76792d28347478015D7754,11.99
​0x407898B364Cd540fa83f8FCFcF591270cD4fA76a,10.36
Other,0.75
