provider,eth
​0xc61f905832aE9FB6Ef5BaD8CF6e5b8B5aE1DF026,70.96
​0xDE3C0B11e86E2d1E4cd4c2D66276E1A1Ca78BABD,9.45
​0x439223457f6b2631c74C304b66EDaB3550352739,7.84
​0x8E2Efa9eD16f07d9B153D295d35025FD677BaE99,4.04
​0x9D7a76fD386eDEB3A871c3A096Ca875aDc1a55b7,3.40
​0x9e72468195c0C3f2F40e9219399B6cA69fBaa455,3.09
​0x843f2C19bc6df9E32B482E2F9ad6C078001088b1,2.30
​0x65C43D86d2E0F0E3b1B04a0995002Ea35D12f391,1.76
​0xD5e06748Fa2Aa8077C7F603858F97A0013542EDA,1.73
​0x486D875eDe8724259d31D85AF2301041864c4360,1.57
​0x53fa16E5AD78Fb0c9c05B37e53439c3685978FdF,1.48
​0xF4E10DF1854FD41448E5c7777326364D41420431,1.30
Other,2.60
