provider,eth
​0x2CDB917A125f153b4573587Ed861550Dc5CE7869,28.99
​0x50219644D04eb7119E385b3A54b003Ab91e8A738,11.01
​0xf0a58c186A1c1Fd3234EeE57c927315Aa35F1ee1,7.73
​0x45a1b2157f9a1B464F949eFCbeAf40309d7B07E0,4.26
​0x99A8c3c13449bBacA0eb9fF710CBB59Fd0FF6902,2.87
​0xf306bb333DE3a34C41a51B2d3408dE73E26cAC3a,2.74
​0xE46FBDfc5Ec01D5914A802aA06fd0E4c5cd41BD5,2.11
​0xCe5A9AA866ca82f06Df0d0868CB27C044A9086Ef,1.94
​0x4b700a9C4ae7e23ee64b50c92FaFACdb9Df72E51,1.91
​0x2d70BC8A7Eef5344D8F7d9eA0f528af38a84dEb7,1.83
​0x721D53E6465A1FE13Ee3A1345c7b060aa965C591,1.76
​0x1fa02E36cb086f2A89ADBa718C65DB7085d16756,1.05
​0xA17CE52056aE38aaCEc1760011161b682050786b,1.01
​0xB6d3D9bc0e8Ab251C0eb29bD7c0E53bf482B3093,0.95
Other,8.55
