provider,eth
​0x85810c8F4435668086D2B3f1a852155c07AEc658,102.64
​0xc59d941D3493fe196F048fCA96C2503d4c365391,56.45
​0x307B543b90F0B5D83B90994B6ba83927d8B28A41,53.29
​0x150B8E09CCec1E070B242B5746e4917cb118D0Db,30.41
​0x978aAD63FE35F7A72573c411C3dfF53608AaeaC9,23.13
​0x0489076A0D17394835aF93cd62ACFf703B6814a9,16.87
​0xF1394140fe0982E40fa9A9846E7c5b0842CECe56,12.98
​0x1e7b184a3bBb0a457F8d39F5ef5A031922C39b45,6.31
​0x549C0421c69Be943A2A60e76B19b4A801682cBD3,4.33
​0x4F50d47D20380172746527bbeAa274940C38EFAC,3.63
Other,9.75
