provider,eth
​0x6D7809A95D6E82425f2403eead3064Aaa013082D,78.89
​0xB7CF1206e3003D7d3F2C7590a12f11b6A35ff0d9,26.33
​0xB75cBC4d5dF664933F717320f1268F4F547bAb87,9.74
​0x575E3FA1608EC75e20d91b383f15186d1228fe98,9.40
​0x6BAa6E8d3E29cB7ef2F78701E29a5CbE53cF9EF7,6.69
​0xaB0F88D49A4C80FBadA18715C7233373078e6CD9,1.72
​0xBD1f7d88C76A86C60d41bDDD4819fAe404e7151E,1.61
Other,5.58
