provider,eth
​0xa66E0D17970A01Ae4E309E2E0b66CE2C41a36C13,17.35
​0xbB29a994f3Ac91EbD27C136aDABbc4B90d56909c,4.96
​0x0De8947c2ABd59C201e5EcE142bFCd22253BFC0d,1.55
​0xF76350A77A2B2a34395D3F50DD5C1f4eA2e7D6Da,0.84
​0x2A2c1102cC6F3eF7e3d469e47c70ad8181C1FaED,0.72
​0xD257D6e3Ce735d4a83708B27026E5e117180B5E6,0.40
Other,0.21
