provider,eth
​0x5637e768e946C2Bbd02Ea6b99FC2120f5A908062,26.83
​0x8fC973f52db362DF90316721f64b42Cc268F9b36,11.88
​0x856565Db827588a88780454863F98A4A323E13Aa,2.12
​0x00d2E45938811353506a12cb7a0bDE2a50E0947B,1.96
​0x5f4f120D8435ea38F0F4635A910fEe03801BE88d,1.35
​0x8dc1B14FB9064f16E659B8B429a2f2db682F51CA,1.33
​0x06B1Bf28C962363F212878BDF87417Ebd0316220,1.18
​0x8c885590C4930C0aE55e6CB0b4Bb6E57939329b4,0.98
​0x74EB390C06a7Cc1158a0895Fb289E5037633E38B,0.61
​0xD71E16C95b4B7bddBA3cc1Fa678Bf1B4964E16F8,0.55
​0x2E0cE5513f4b3A48A8a4E30ff69e24714F5Cd5fA,0.53
Other,2.75
