provider,eth
​0x978B80D204593F685733b4b695F64ad2fE4EfDc1,3.34
​0x4763A764F555F84Ee54a3E1dF6f0ee5036974319,1.96
​0xe15553F2B19301849f68d0Ea7B145BB19646c727,0.75
​0x0D83a7Bc5BA8350a2174168b37456eb389a1aB95,0.73
​0x52CAADeaF9faFcC40c008088b13d4Bb294D267F6,0.47
​0x391E9F5031014497e74b771D0c553eF676C45186,0.39
​0x57851B7b9A38799dAC6160D0922f02CDd75EF6A7,0.22
​0x5FF495AeA9b0182B74bb13a1fE8Bae3322BDe82F,0.17
​0x95332f025DBf4ca932c202A8b9a6BCb6701b77a8,0.09
​0x744cB6054C7a22510CdE168418c61602aFfD5c36,0.08
Other,0.02
