provider,eth
​0xFAcf8C3BD0c1F3a056A4BEA91C82ca8A28DAceBA,0.45
​0xD21e9A1471b65465166E99832Ade5bd1e3a85c9e,0.27
​0x14ffaE1d2804EAf261586A6378218eb5e7235066,0.17
​0x98AE96b87a5D996d2B43cFb503feC62E37D01443,0.15
​0xcE4C0752125B20C5c9aDCE829c26a44235DF9DcE,0.15
​0x8A4Fd76e9547cc32693f054F34C153FF7506A5a1,0.09
​0xBaD8429F711e92A96b9a9B82aa148ffd1C4df24C,0.06
​0x4246719224A582c307DCB84CBD7f41ceAdb9A36d,0.02
​0x8033562521FedEcDCc05487303522375597f9094,0.02
​0x201a9aE495adcbD9B3F606E1427B99b8D6Bc8F90,0.01
Other,0.02
