provider,eth
​0x3A5D6fa15C0c3bCe75954F1dFDd9Ae3C25325e37,11.51
​0xF3dF14b24e982DF7C0943d4B4DdeBf18a23240eB,2.18
​0xCCB045271c73693B9A3c5dAE36AaF5bDAAAC6F3C,1.45
​0xBD1f7d88C76A86C60d41bDDD4819fAe404e7151E,1.24
​0xd0b23f8e6D6f0FB85DAfa9c6d2DC4A7F73849B39,1.02
​0xF2620F8c4bdc46A55d0e3F39569D0d154f5d1981,0.77
​0x38dAEa6f17E4308b0Da9647dB9ca6D84a3A7E195,0.27
​0xa17F75C6D52951699350f308d1220e2Dca7b4cDA,0.27
​0x53b015573630d248a32b11b21E5443EFb92D9CFB,0.25
​0x58f123BD4261EA25955B362Be57D89F4B6E7110a,0.23
Other,0.98
