provider,eth
​0x42c029e3536A8b83b0a5C1b3c2d611e1C03320Cc,33.61
​0x86E6FBB00405f3879DeDE7dB4701e43ae431c141,15.55
​0xeCEF5B4A0bd1be81FE64796b9ccAC18A02A448F3,12.48
​0x459e8EEA49d5ef42cA0042C93862D8f67C453c11,12.36
​0xA12D3c264D56CE0e31a8c1389934F9fb4f99544e,6.54
​0x79dE94F7db2800b4d8a56fd8A5BECef416BBd02b,2.42
​0xE9Ee1adA09599090840a4e15D7278aF5b338443C,2.15
​0x9E3781496917F5feDaB2d4ECD5c7b1047c8de1Bc,1.40
​0xa5cb0648383B871de9D8c8a2F31BB985Ec160187,1.29
​0xD8b3CA7a1fc52cCF92B0F8A9639FB55688305841,1.27
​0xCcA4eD05c36A61676c5369f5122E57E56Eba2fAE,1.20
Other,0.66
