provider,eth
​0xD3AA1fE5D12C62eea28b768AE27C1f53B0B79181,27.65
​0xbD6F5BdC401AB1Ca811e40755f4A2ddAd75cE2cc,16.53
​0x0a76a5Da4dCD188B691a963BC35313Ac29D86432,12.83
​0xc6bb76D4Db067495f8b9b545E6e1CC9e550F3ff3,1.18
​0x69B85b285b543797C21FADE37821A0Cb5944Efc5,1.17
​0xd62273960eC0425e35D0331F9442234F9CddbEB8,1.11
​0xeB185760E6ABa82f8fa142e1c876c41106388f0b,1.06
​0xADAa82d99Ca31379EC8417515A75A7ce3A4b4044,0.89
​0x265eDE38C3c686F52626c347705A2EAC2A6Ea4C5,0.81
​0x68F593572402632C724bc2d2fCa05e91541269F3,0.75
​0xe855BdfcBDb38e8705d8D52b756da1028468b1BC,0.67
Other,1.95
