provider,eth
​0xB67CFf0Ed07A50f690638731Dce80BC4FE312c83,671.79
​0x52cC207feD3f0327562cD4561852C7BD34Efe7a3,457.01
​0xA9333685543E62176A091A86574e0ca3aCd30d7d,315.17
​0x73F7A660C809e1FA7CAbc4f92E74B63edDC34f0B,249.21
​0xDA1267487F8f3931e34009E4131903a156b7006e,121.17
​0x17A78C0d0277549AEafe6998e868F2F298A86DC4,67.96
​0xa26bcF7Dbe77B69F40b5e70F9fd003F428f9f971,63.71
​0xCa219580037B65E492Ae20fB105e6f34c44dFe11,60.07
Other,8.92
