provider,eth
​0x7A23608a8eBe71868013BDA0d900351A83bb4Dc2,38.20
​0xBE97034b366c81e2081b46bf703315aa4e981b76,24.39
​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,10.57
​0xF3bC122E90FB9364fBc131F071CFE06cE0C7c7C0,7.33
​0x9E3Debb15bc97dcdB5AdE6Fe1EA171BD7256A5f1,6.88
​0x3C57CB6C743b190cec13CD804afD753531B94ea8,3.06
​0xD0c838486120cdA746CA514F76C70938bF708b90,2.01
​0x5928088371d062c36b2Ff510132100785Aa5acce,1.43
​0xFAcf8C3BD0c1F3a056A4BEA91C82ca8A28DAceBA,1.27
​0x45f1E5D98b7C338cd7CdcbceCc47DDEf193674b1,1.09
Other,9.79
