provider,eth
​0x3C87b4c34aBDb615Bd405458982e1A2076D24111,1.44
​0x20E13e46090bb00e1D5C233241F45c26B47cd866,0.87
​0x14ffaE1d2804EAf261586A6378218eb5e7235066,0.31
​0x01252Be268b05625B554C80dd46ea669Df5E948b,0.20
​0x5FF495AeA9b0182B74bb13a1fE8Bae3322BDe82F,0.19
​0xA4aC2BB3885Ff3bf82e99cc2B442A379E3627EF7,0.08
​0x3955192aC5ba00F9ec028Aea240d8177F48c70dC,0.05
​0x73A00a5Ce469D611533fE1cdD4D338DA513f9f54,0.05
​0x0AE72609b7b6269bb1a289761120d490150B04a3,0.04
​0x7E2f6E2f86089Ae708425BcA2E7Bf43ad5cA486E,0.04
Other,0.11
