provider,eth
​0xea9F3C44f4Fc7D6Fa2385bCF432483B4947619f0,3515.63
​0x49a2DcC237a65Cc1F412ed47E0594602f6141936,1891.80
​0x285306442cD985Cab2C30515CFdAB106Fca7bc44,1761.40
​0xf1AeB5D0B299974F2b8258A4e10dc8112A750b91,1751.13
​0x1fC6386835eB73C7c3b16695f30611B1a71FC84c,715.61
​0x3A32ECf794C2172f47d0186bAEE4BfA74D2ebc9f,442.30
​0xCcf7d009115F8ee80F11F75b18Fb51cBaF831e63,339.74
​0x6F9Fad06e23508FC8929b2759f90226d317e41fE,315.26
​0xB70F6fd78D41fE251E77DE5377719AF85d323483,286.01
​0x42Ab9E1C9332E61EbA3A17B53fce2aBf73dc8b12,241.83
​0xb62AfBae10e411ea7994dAb7480eBbDd1B7c24d5,185.13
​0x19eE7696D2a71548A7f1FC9cef644460d7e73297,152.38
Other,1914.46
