provider,eth
​0x002F9CaF40a444f20813DA783D152bdfAF42852F,10.37
​0xf6B6F07862A02C85628B3A9688beae07fEA9C863,9.56
​0x7A39608107DC014d4bBd7A5F01d3FbA5Dff6D042,9.21
​0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,4.41
​0x9CA48374f583F28D86792CFb824Fc5B1aac56723,2.51
​0x6a983E653d6D7C81fbd29Dd7cc638b6F36242d08,2.04
​0xBe98dcEc987EDb44349F6AA40DdF084dA21EF169,1.55
​0x97cbe12e2854bBa386cf3877c2965a41F4fDfD68,0.93
​0x4F50d47D20380172746527bbeAa274940C38EFAC,0.87
​0x5682cDdB3bBB1731cEb8C4CD761eAc9f31B84D27,0.50
Other,1.11
