provider,eth
​0xcb59b8a261bBB6FfCb376b4c198BAA0bb896e6D6,15.60
​0xbb6AB3CF7cABE055a96ca165421927305eE4d30B,9.21
​0x391E9F5031014497e74b771D0c553eF676C45186,2.46
​0x7132C9f36abE62EAb74CdfDd08C154c9AE45691B,2.10
​0x5514832408287F4Ea70E523B04Cdc9e962dd61B8,1.87
​0xa03A5926253D797eFf9F8fE8CE4d7362e6fd84Ca,1.53
​0x4775E7f9Fc258259e88ae6C6C245AD85def7fB3a,0.93
​0xa84dA32Dd4dBF6B01d3eD48257038Fd98b978215,0.57
​0xFCc6bf3369077e22a90E05ad567744Bf5109E4D4,0.55
​0xE1b5547977Ad0e06b8fCD12Ca7a6b14EBb264CbA,0.42
Other,0.14
