provider,eth
​0x5c0AC266833E36E98edB52070bCeA5Be6C1145c6,28.13
​0xf22c2e3475e4a066F4E9f44567c950dd36112D05,17.90
​0x7Ee567D2AC5dca4c422281Deb1e2334a805BA6C1,1.14
Other,0.63
