provider,eth
​0x387ca78a5edf943d267b9248CCe1B0FDB67d0029,56.30
​0xd30fFC6163D2C0B0887AaA1D6a821B3E50BF4Def,37.46
​0x00B591BC2b682a0B30dd72Bac9406BfA13e5d3cd,6.51
​0x064D3230f753D8C14e06Cf491fE2F1a3D2CCD5DD,5.18
​0x35bFF65b50ca8426f702323d6D3db7717198953e,4.66
​0x184DCb4E576df6e2dcF20b1111B2DAB701fB377d,2.52
​0xf0bBbEe03f89d344B9C385a822016Ec22C84f1e6,2.42
​0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C,1.49
​0xcA63A1eaE2faCe6EB858D30554DA0363716489c9,1.31
​0x49a2DcC237a65Cc1F412ed47E0594602f6141936,1.26
Other,2.47
