provider,eth
​0xD1a1824902B6698eE1ACA84d83f22b6d779355f2,0.36
​0x753286b69F927986A066717D5a28f9F23267Bc69,0.31
​0x666244bC58A6bf1420Bf3DE0754158EFde3FFe16,0.16
​0x36Bc3B87Ba6b4636A96aEF8b0058856d05cF5E68,0.15
​0x92ac8A9c4b5975EF70056C82242Eb8515f85ffcE,0.13
​0xf56036f6a5D9b9991c209DcbC9C40b2C1cD46540,0.11
​0xdfE52055db07BfE8d912fb79F71D34019cBff6c9,0.09
​0xd6f64c02c14Ac390bf5f772de6CD590f9412bD1C,0.05
​0x73b22872475566751491b2e0FE279e517253A5d4,0.02
​0xF6DC43BA328AffEc2AfeBDA472aC6977200Da957,0.01
Other,0.00
