provider,eth
​0x0a81D78ce5EcB3D39ccA9842aF76c90AB5b8FaEC,8.57
​0xDb7040c40F5eAd5fF082FCB28C57Bbf7Dfd4beE3,7.24
​0x3bDd582A90880ab1faCb626Ac33b6258b52B34b1,5.81
​0x22B544D19fFe43c6083327271D9F39020da30C65,3.60
​0xEDa28C961A4BC2cE7ba302c126d4840b18af906E,2.39
​0x265eDE38C3c686F52626c347705A2EAC2A6Ea4C5,1.31
​0x79f709b01033dfDBf065cfF7a1Abe7C72011D3EB,1.30
​0x88F78B27B0eaB9cB2f9108808070C7aa1E6A88b8,1.17
​0x75bBC7d37D3bf975b527CF2e99b947D61A22EF95,0.68
​0x264AB40E0F058C126864da1E28aFe34311DAFF13,0.57
​0xa3a3C6df9fE3e22e9EF4Df63Bb1151EF47E2Cf54,0.51
Other,1.82
