provider,eth
​0xf22c2e3475e4a066F4E9f44567c950dd36112D05,28.52
​0x8b941bA67C0cFF1489A34e83230595C0cd2AD3bC,0.75
​0xc5dA6181e0722E0C1d24EF805f8EFd7BF8E2f860,0.57
​0x2FF2DAAe17Ac215Bd8f869D06b76cf2F30b76a2f,0.45
Other,0.45
