provider,eth
​0xCC729f15c1695272F2E92f6c9971ef92bc65F816,13.09
​0x1F762b6440AbFa987c320A1FdD347E09F95E19A1,5.72
​0x6557D92D629E0bD8003b8E12c83835ff3CDB9D6B,2.68
​0xd3dE1f8Aa8e9Cf7133Bb65f4555F8f09cFCB7473,2.58
​0x478fa4C971a077038B4Fc5C172c3Af5552224ccc,1.22
​0x177d9A55A4C8A47378f31fc4aaAb3f1BEceFa0fF,1.05
​0xDD1842Afe1982CB3AcedB5E2F44712615318A5Ea,0.98
​0x26A6dC267e276Fded7b40251C8fc08B1b40df367,0.94
​0xe770E92be44924Dd0778d184aF3163276c2a7c89,0.79
​0x6c8f8b18dE86f3d91c16a9Ae75111fAE52E4435C,0.77
​0x384d6a80C87D2f185faf095a137888E5E6156e80,0.66
​0x908A358E97D2129E45362FFD3a2Be3a76Fa58BBC,0.66
​0xbF1414f80cEF34DBcE94184786cB6796186d510F,0.64
​0x51B553a31Cf3027f9F5a212027Ac1717B21782B6,0.60
​0xF0029d6E49F2Ea682BB54044a622749b9b63635c,0.55
Other,0.73
