provider,eth
​0x7D77e6Fe8cd921e4A89ad735A3A722b1f84dc32b,20.72
​0xf08f1bdFBA4358Ba7738f2F2b09738a13cCDf04C,1.29
​0xfA5073140A1C8A1728716E78CCfA2dA514045D3C,0.68
​0xfc1b61Aebe657d33DF261DB89AADd767515600C6,0.51
​0x440ba0D649D2FC64b34BeCf8B211595780c9feFe,0.38
Other,0.17
