provider,bnt
​0x93800fF1BbBcBD6CfDff5662DE5812347235D0E9,42.37
​0x8ed623111f2CBC8842eEf8D55523dE173AE3b42c,6.33
​0x50C5d48E59a6206eCfBFaf7FA7645f3DE3b84627,0.57
​0x5f7a009664B771E889751f4FD721aDc439033ECD,0.57
Other,0.00
