provider,bnt
​0xCDE042543307966bc16Eff3cDca4d32B23408C4c,1736.87
​0x84172B1Ba7C1c8FD48aec00B6eD9e9431Aaf5647,111.68
​0xa6d003DC18e6B3475585d8b2960cc35F765eE6F4,27.51
Other,35.93
