provider,bnt
​0x82b6fCe93816c209b52495d6ab2866CFBd31560D,1363.45
​0x424856dF66248AA5e749fB12286798D36E821d3D,411.30
​0x09804954cbF4844601baf6cb8792e189E930dbc2,21.73
Other,37.43
