provider,bnt
​0xc6C1e24966b77C904dD2a601a1400a5065D27b8A,22.99
​0xe2607A150950DD1772A03EcE1d56D0F8Cba1bF34,6.74
​0xc6bD877B0E4877f6A63150cF4c96b24885D9ED2d,0.86
​0xC5065e8ec345508961ad1E679CC9614d3f68Ed0d,0.73
​0xd0c2d6b4f176CdD223adA5422598568b6677806E,0.67
​0x68f521a871DDd406A57121bf7246c7574Bc3CB62,0.49
Other,0.07
