provider,bnt
​0xBd7a16507BcD0E13a558016B170a42034F0d5Aec,4.82
​0x6925507644bf5Fe35959D16f854E4Cc1034631c6,3.99
​0xA6822F11Ea34866349e230A898eA2b340B083072,1.97
​0xd37aBb379C02EC0D4e3F690Bc19d4DB0fBa96ad6,1.56
​0x2149c6986a3873047eC7711206aeA6Cd9E03f0A3,1.04
​0xB7AD832E3AFF59d4699F681F11BC37137711963e,0.92
​0x9F2eA5242C4154Cf5494BcD50AAaFa05eccEF7C3,0.92
​0x85F2921A8105F514F87aaF53625681516b4D5C4c,0.83
​0xEca0f4Bd861713aF4f248CED18C15AF76440b00a,0.80
​0x009BB5e9fCF28E5E601B7D0e9e821da6365d0a9c,0.60
​0x22F7356781A613cdf151921578b6fEdE38DcDd4E,0.49
​0x273228Ac4ba37cAd54Fc8d25982f629191F348b3,0.21
Other,0.59
