provider,bnt
​0x4D37f28D2db99e8d35A6C725a5f1749A085850a3,519.75
​0xa3dB05c72c79d52D2D37170A342a2c21c5e5d7C0,65.79
​0x5972A242B1852b5a76eF78Fc925dbc66fb836E95,15.00
Other,4.45
