provider,bnt
​0x6884249C226F1443f2b7040A3d6143C170Df34F6,8473.02
​0xA10C7E2BE90ae50f4276955890035495E3eF7768,908.32
​0x7588635a51a1258821AE608479B5729156DB2496,357.57
​0x19c43A5c0e264039732c0c36DE2c6A2Ea9A6b4b4,214.97
