provider,bnt
​0x734C2afF51c4589E6310E0c0ac7D84D244c6Ce1A,77453.32
​0x68d6aC0Aedf140e18058E3d848B199D09D3a6310,10757.41
​0x60c9AaEa5Cd82D549E54f75D826Da06CC8737210,1550.29
Other,1384.15
