provider,bnt
​0x500f7350c56CDA8048EF484866395927DB39c302,941.21
​0xC8f4eb15F6eCeA87cd339ca9C43b3BE53AC3F097,835.86
​0x00BE60125e9fe57b58e862092c896696695AdB91,629.59
​0x177eA20e9E7329F4dee4066b2C44e13Dd1Baaa21,75.64
​0x8da02D597a2616e9eC0c82B2b8366B00d69da29A,51.45
​0x76f751e45a4362EC09c607dAfeAaFa47553A6851,49.16
Other,69.72
