provider,bnt
​0xEB0B300cF528fcCfa8FA92c70D6E67a48d576672,342.02
​0x5C5Df979E25B8F341B584b0D62db039E0e81Cc9B,94.19
​0xCc36A71bD05A9d20e2A9CC32e57C970543052CC2,15.92
Other,0.01
