provider,bnt
​0xd08B5496D38f6E34D05cCa8D7504DeB405b79eeE,46228.71
​0x262F40E0741A8a759936EF048AF7081b55E1708E,1304.88
​0x45Be454C5a0b767A38e808280c308f8A7CA4d0aB,896.51
Other,2.30
