provider,bnt
​0xf66cdB456dA006a56B393F08FceC377c6C1af28a,496.67
​0x4D37f28D2db99e8d35A6C725a5f1749A085850a3,405.12
​0x36565F667422EAf6467c7CA84bCa13aC26014a93,196.94
Other,10.18
