provider,bnt
​0xdfeE8DC240c6CadC2c7f7f9c257c259914dEa84E,188881.46
​0x598f2ff6bE73fFcF8f18E244f5fbe1bbFb0A4349,3526.97
​0x5513e95eb8A3C5059c6ea2Bea841e8A4782f26d9,2953.76
Other,1821.28
