provider,bnt
​0x9d0357D184122b85dBc095d196b5eBbAFC7F3010,4637597.65
​0x79E7cCb8E7a61AD4781C98864C40e380bb10dd26,832423.13
​0xEaf3ce7b745F27835Df80B53b86B5299986069C1,579187.66
​0xF977814e90dA44bFA03b6295A0616a897441aceC,301801.87
​0x9833822322cCB412eaCB4E4DA736207590e5c327,276475.95
Other,2334827.89
