provider,bnt
​0xA15959aAAa96C0b17D06FfBb2dc10aE249E37BF6,7.70
​0x239A0a64Ed64d96a1a5261F42719fc64C27f02e3,0.54
​0x5f7a009664B771E889751f4FD721aDc439033ECD,0.49
Other,0.07
